NOMEFILE,ANNO,TIPO,liste_sindaco_preferenze_referendum_presidente,rounds,DATA,CITTA,id_elections
comunali_preferenze_2021_municipio_12_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_12_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_13_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_13_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_14_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_14_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021_municipio_15_2021.csv,2021,municipali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021_municipio_15_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_1_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_1_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_2_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_2_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_3_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_3_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_4_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_4_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_5_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_5_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_6_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_6_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_7_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_7_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_8_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_8_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_9_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_9_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_10_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_10_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_11_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_11_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_12_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_12_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_13_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_13_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_14_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_14_2021.csv2021_municipali_single-round_ROMA
comunali_liste_municipio_15_2021.csv,2021,municipali,liste,single-round,2021-10-03,ROMA,comunali_liste_municipio_15_2021.csv2021_municipali_single-round_ROMA
comunali_preferenze_2021.csv,2021,comunali,preferenze,single-round,2021-10-03,ROMA,comunali_preferenze_2021.csv2021_comunali_single-round_ROMA
comunali_sindaco_lista_2021.csv,2021,comunali,liste,single-round,2021-10-03,ROMA,comunali_sindaco_lista_2021.csv2021_comunali_single-round_ROMA
comunali_sindaco_2021.csv,2021,comunali,sindaco,first-round,2021-10-03,ROMA,comunali_sindaco_2021.csv2021_comunali_first-round_ROMA
